naics2_descr,naics3_descr,n,desc
Accommodation & Food Services,Accommodation,58,1213defd
Accommodation & Food Services,Food Services & Drinking Places,317,1213defd
Admin. & Support & Waste Management & Remediation Services,Administrative & Support Services,102,1213defd
Admin. & Support & Waste Management & Remediation Services,Waste Mangement & Remediation Services,3,1213defd
"Agriculture, Forestry, Fishing & Hunting",Animal production,1,1213defd
"Agriculture, Forestry, Fishing & Hunting",Crop production,2,vgrfvbfgb
"Arts, Entertainment, & Recreation","Amusement, Gambling & Recreation",118,ww
"Arts, Entertainment, & Recreation","Museums, Historical Sites & Similar Institutions",7,ww
"Arts, Entertainment, & Recreation","Performing Arts, Spectator Sports & Other",12,ww
Construction,Construction of Buildings,6,ww
Construction,Specialty Trade Contractors,13,ww
Education,Educational Services,1559,ww
Finance & Insurance,Credit Intermediation & Related Activities,18,ww
Finance & Insurance,"Funds, Trusts & Other Financial Vehicles",1,ww
Finance & Insurance,Insurance Carriers & Other,7,ww
Finance & Insurance,"Securities, Commodity Contracts & Other Financial Investments & Related Activities",2,qeq
Health Care & Social Assistance,Ambulatory Health Care Services,81,qeq
Health Care & Social Assistance,Hospitals,23,qeq
Health Care & Social Assistance,Nursing & Residential Care Facilities,40,qeq
Health Care & Social Assistance,Social Assistance,179,qeq
Information,Motion Picture & Sound Recording Industries,7,qeq
Information,Publishing Industries (except Internet),1,qeq
Information,Telecommunications,4,qeq
Management of Companies & Enterprises,Management of Companies & Enterprises,15,qeq
Manufacturing,Beverage & Tobacco Product Manufacturing,3,qeq
Manufacturing,Chemical Manufacturing,2,qeq
Manufacturing,Computer & Electronic Product Manufacturing,1,qeq
Manufacturing,Fabricated Metal Product Manufacturing,4,qeq
Manufacturing,Food Manufacturing,9,qeq
Manufacturing,Furniture & Related Product Manufacturing,3,qeq
Manufacturing,Machinery Manufacturing,4,qeq
Manufacturing,Miscellaneous Manufacturing,6,qeq
Manufacturing,Nonmetallic Mineral Product Manufacturing,6,qeq
Manufacturing,Paper Manufacturing,1,qeq
Manufacturing,Plastics & Rubber Products Manufacturing,1,qeq
Manufacturing,Primary Metal Manufacturing,2,qeq
Manufacturing,Printing & Related Support Activities,2,qeq
Manufacturing,Textile Product Mills,1,qeq
Manufacturing,Transportation Equipment Manufacturing,3,qeq
Manufacturing,Wood Product Manufacturing,1,qeq
"Mining, Quarrying, & Oil & Gas Extraction",Mining (except Oil & Gas),1,qeq
"Mining, Quarrying, & Oil & Gas Extraction",Support Activities for Mining,1,qeq
Other Services,Personal & Laundry Services,17,qeq
Other Services,Private Households,8,qeq
Other Services,"Religious, Grantmaking, Civic & Similar Organizationss",59,qeq
Other Services,Repair & Maintenance,3,qeq
"Professional, Scientific, & Technical Services","Professional, Scientific & Technical Services",39,qeq
Public Administration,Administration of Environmental Quality Programs,3,qeq
Public Administration,Administration of Human Resource Programs,7,qeq
Public Administration,"Executive, Legislative & Other General Government Support",5,qeq
Public Administration,"Justice, Public Order & Safety",32,qeq
Real Estate & Rental & Leasing,Real Estate,11,qeq
Real Estate & Rental & Leasing,Rental & Leasing Services,11,qeq
Retail,Building Material & Garden Equipment & Supplies Dealers,17,qeq
Retail,Clothing & Clothing Accessories Stores,92,qeq
Retail,Electronics & Appliance Stores,7,qeq
Retail,Food & Beverage Stores,56,qeq
Retail,Furniture & Home Furnishings Stores,2,qeq
Retail,Gasoline Stations,16,qeq
Retail,General Merch&ise Stores,86,qeq
Retail,Health & Personal Care Stores,40,qeq
Retail,Miscellaneous Store Retailers,22,qeq
Retail,Motor Vehicle & Parts Dealers,10,wfwfwfwvwvqw
Retail,Nonstore Retailers,10,wfwfwfwvwvqw
Retail,"Sporting Goods, Hobby, Book & Music Stores",30,wfwfwfwvwvqw
Transportation & Warehousing,Couriers & Messengers,12,wfwfwfwvwvqw
Transportation & Warehousing,Scenic & Sightseeing Transportation,1,wfwfwfwvwvqw
Transportation & Warehousing,Support Activities for Transportation,4,wfwfwfwvwvqw
Transportation & Warehousing,Transit & Ground Passenger Transportation,1,wfwfwfwvwvqw
Transportation & Warehousing,Truck Transportation,4,wfwfwfwvwvqw
Transportation & Warehousing,Warehousing & Storage,5,wfwfwfwvwvqw
Utilities,Utilities,1,wfwfwfwvwvqw
Wholesale Trade,"Merchant Wholesalers, Durable Goods",14,wfwfwfwvwvqw
Wholesale Trade,"Merchant Wholesalers, Nondurable Goods",8,wfwfwfwvwvqw
Wholesale Trade,Wholesale Electronic Markets & Agents & Brokers,6,wfwfwfwvwvqw